ID,Name,ScreenName,Avatar,Description,Location,FriendsCount,FollowersCount,FavouritesCount,StatusesCount,CreatedAt
1910090864736841728,Creative Office,Creative0ffice,https://pbs.twimg.com/profile_images/1910090904398090240/nN8Kvx1q_normal.png,"Creative Office is the team shaping the visual ID of Base. Our work sits between cultural research, symbolic language, and onchain experimentation",Onchain,3,282,0,1,2025-04-10 06:02:13
1341260802985242625,Tom,drawl,https://pbs.twimg.com/profile_images/1844218253532409859/sz5QhQTF_normal.jpg,"big token guy leading @ || prev marketing @rainbowdotme, founder @join (acq)",drawl.me,970,93527,16354,781,2020-12-22 13:54:39
1779815413083254784,Basejunkie.base.eth,BaseJunkie_,https://pbs.twimg.com/profile_images/1909555755528720384/eJD0Ai_a_normal.jpg,"Content creator | Spaces host | Supporting builders on @base

Building @basedtopi
Contributing to @nfaonbase

2025 is the Year of Base",base,1310,3843,6243,4416,2024-04-15 18:14:04
1799231449721122816,OnchainKit,OnchainKit,https://pbs.twimg.com/profile_images/1893102624162889728/qcJg2bYH_normal.png,A kit to make building onchain easy for everyone. Created by @base.,npm create onchain,25,7592,1080,461,2024-06-08 08:06:53
1454095638820491266,Spearbit,spearbit,https://pbs.twimg.com/profile_images/1788211356040081408/eKb2lkls_normal.jpg,Industry Leading Web3 Security. Request a security review here ➡ https://t.co/NxI0l6XcD1,,32,12429,710,1634,2021-10-29 22:43:12
1496567813737091075,vectorized.eth,optimizoor,https://pbs.twimg.com/profile_images/1881782122840838144/vFAGZqpj_normal.jpg,✯ https://t.co/1tzvfSxKXq ⟠ @soundxyz_ ⊛ @asterixlabs,EVM,10114,33108,209489,18028,2022-02-24 03:29:29
1620455035661320192,Pond,PondGNN,https://pbs.twimg.com/profile_images/1853746914006904832/WDZIgzka_normal.jpg,Community-powered AI innovation,New York,520,42749,928,649,2023-02-01 00:12:55
372104009,Munda,Moonduhhh,https://pbs.twimg.com/profile_images/1528903043034411008/MvevpGzb_normal.jpg,@buildonbase @base,"Los Angeles, CA",883,401,8474,971,2011-09-12 12:11:22
1438782829287116802,Across,AcrossProtocol,https://pbs.twimg.com/profile_images/1886903904874512384/wnRMhfef_normal.jpg,"Fast. Secure. Affordable.  Crosschain bridging, powered by intents ⛺ $ACX",Unifying Ethereum,399,124774,12151,6272,2021-09-17 16:32:23
519991034,caro.eth,carolinacotos,https://pbs.twimg.com/profile_images/1887211277002354688/mUjXZNOU_normal.jpg,Internet OG✨ Based🫡 founder @ombruja 🔮 Artist @nft_nyc @niftygateway 🧘🏽‍♀️ Brand Ambassador 🇨🇷. Former VP @internetsociety NYC,"New York, USA",5431,3375,22224,10171,2012-03-10 09:39:03
793248941575843840,wbnns.base.eth,wbnns,https://pbs.twimg.com/profile_images/1805224495570952193/GL0hs1_-_normal.jpg,Core team @base • Former maintainer: https://t.co/yKQ0lrmM4Q • Editor: Mastering Bitcoin & Mastering Ethereum • Developer: https://t.co/n5NUXJCO34,Remote,0,6893,5379,3054,2016-11-01 08:31:00
1420789685811650560,Morpho Labs 🦋,MorphoLabs,https://pbs.twimg.com/profile_images/1712024635590455296/ksuEkiF7_normal.jpg,"Contributing to the Morpho Protocol.
Earn, Borrow, Build on Morpho.
Join the community: https://t.co/EQJUOM2VuD",,14,61664,5743,3692,2021-07-30 00:57:22
489659762,Xen,XenBH,https://pbs.twimg.com/profile_images/1875161123793547265/d-LXT2LS_normal.jpg,Head of Global Builders @base,London,1123,11244,6754,1681,2012-02-12 03:11:57
