ID,Name,ScreenName,Avatar,Description,Location,FriendsCount,FollowersCount,FavouritesCount,StatusesCount,CreatedAt
1910090864736841728,Creative Office,Creative0ffice,https://pbs.twimg.com/profile_images/1910090904398090240/nN8Kvx1q_normal.png,"Creative Office is the team shaping the visual ID of Base. Our work sits between cultural research, symbolic language, and onchain experimentation",Onchain,3,282,0,1,2025-04-10 06:02:13
141695469,Cameron Krogh Stone | Polyglot Actor,thexiaohuozi,https://pbs.twimg.com/profile_images/1907093333865820160/dLIsUI7D_normal.jpg,"Native🇬🇧🇳🇴🇸🇪Fluent🇨🇳🇫🇷🇪🇸🇩🇰 
Accidental Meme Coin 🪙 
@brilltalent @voice_squad 🇬🇧 @thespiansagency 🇿🇦 
“The Book Swap” out now @audible🎙️",London | Stockholm | Cape Town,829,469,344,303,2010-05-09 03:32:43
1379053041995890695,Phantom,phantom,https://pbs.twimg.com/profile_images/1675202638026252291/4StTDIF4_normal.jpg,The friendly crypto wallet built for DeFi & NFTs. | Get support at https://t.co/4xgbjivJbA | We never DM first or ask for your Secret Recovery Phrase!,,1396,874663,101734,40699,2021-04-05 20:47:30
153638621,niko,nikokampouris,https://pbs.twimg.com/profile_images/1881529074541064192/DibiZVam_normal.jpg,vibe curator @uniswap,On the pitch,1665,8610,72044,35269,2010-06-09 10:25:15
1838344490278334464,nickk.base.eth,nickcryptopro,https://pbs.twimg.com/profile_images/1839742117725224960/Kq-AgQDX_normal.jpg,"Building @guzsailor, soon to be Top Voice of Base. 🤖 + ⛓️ Bringing AI to Base","New York, USA",1345,6070,4427,668,2024-09-24 06:27:46
871889563,Rachel Wilkins,rachelwilkinsb,https://pbs.twimg.com/profile_images/1881467583720820736/fcP3tL_L_normal.jpg,Building $GOOD Things with Optimistic Humans ⚡ ⏰ @timepieces Council 🎙️@artcrushgallery Council. Current: @goodnewsstudio @sendhalpxyz @goldloxe,New York City,4288,12520,74533,26013,2012-10-10 22:25:53
166871945,Kunal Modi,kunal_modi,https://pbs.twimg.com/profile_images/1498355725369630721/Lay-ABCf_normal.jpg,"engineering @base ✨ prev @spindl_xyz (acq. by @coinbase), @airbnb, @meta, @southpkcommons, @ucberkeley","San Francisco, CA",1160,1271,3985,1509,2010-07-15 13:38:41
1565770034122616832,sracha,srachasaucee,https://pbs.twimg.com/profile_images/1821771577270116352/z31plN36_normal.jpg,content creator & incoming president @blockchainucla,UCLA & sf ,911,3415,4797,1202,2022-09-03 02:34:12
3820356254,Denelle Dixon,DenelleDixon,https://pbs.twimg.com/profile_images/1701615759569629184/Gr2nOnNo_normal.jpg,"CEO and Executive Director, Stellar Development Foundation @stellarorg","San Francisco, CA",285,38863,2162,1923,2015-10-08 09:51:30
3142,Emmie Chang,Emmie,https://pbs.twimg.com/profile_images/1773104751024189441/UgdCR3x5_normal.jpg,Founder @yuzu_labs | YC alum |,"San Francisco, CA",1635,20348,820,987,2006-07-27 02:50:40
1864452692221022210,Bankr,bankrbot,https://pbs.twimg.com/profile_images/1867636732533125121/ml6EJHfa_normal.jpg,Your new AI-assisted crypto wallet on X. Check yours here: https://t.co/cF4GRif7pm. Terms: https://t.co/wcr4R1E11m,,10,41861,387,159851,2024-12-05 07:32:52
2238921,Send,Send,https://pbs.twimg.com/profile_images/1847208430672416768/wmd2UxSZ_normal.png,"Peer-to-peer app to send, trade, and earn USDC. Instant, global, and only accessible by you. https://t.co/0XJHUzM1L4",,499,15049,5335,3040,2007-03-26 10:13:52
1490054542188494848,Copperx,CopperxHQ,https://pbs.twimg.com/profile_images/1686840398574985221/0FKz0wf8_normal.jpg,"Onchain stablecoin banking for businesses and individuals

Looking for stablecoin checkout? visit @CopperxCheckout",US | UAE,14,3809,2189,1880,2022-02-06 04:07:53
2327407569,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,"Co-Founder of Solana Labs. Award winning phone creator. NFA, don’t trust me, mostly technical gibberish. https://t.co/LomgbTpb6h","Solana Beach, CA",5944,564738,119510,91976,2014-02-06 13:03:51
1720665183188922368,Grok,grok,https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,"https://t.co/fqNKQSiLQB
@grok it",wherever you are,2,3202229,51,5220051,2023-11-04 12:52:34
1888419705616207872,0xmoonlight.base.eth,0xmoonlight_,https://pbs.twimg.com/profile_images/1888422668145479680/YqSVrMO__normal.jpg,🇵🇭 PH Country Lead @Base Build On Base. Product Distribution + Community Distribution. Tweets and opinions are my own.,Philippines,198,1379,270,276,2025-02-09 10:48:45
1895714633782083584,VibeCode,vibecodeapp,https://pbs.twimg.com/profile_images/1904766425094291456/-jOncDrH_normal.jpg,The app that builds mobile apps. Preorder now (free) ⬇️,"San Francisco, CA",3,10616,608,254,2025-03-01 13:57:01
7769022,Scott Shapiro 🛡 shapiro.eth,scottshapiro,https://pbs.twimg.com/profile_images/1484350005389398025/OMFAMDGW_normal.png,"@coinbase Product Director, Trading
TG: scott_shapiro_coinbase",onchain,1957,8512,9462,4628,2007-07-28 03:29:02
1191702416971968512,"ZKsync (∎, ∆)",zksync,https://pbs.twimg.com/profile_images/1835668010951950336/Aq1Kg1p0_normal.jpg,"The Elastic Network: an ever expanding verifiable blockchain network, secured by math. Built on Ethereum.",,94,1514737,3144,4670,2019-11-05 21:03:06
883946123559264257,eliza,elizalian,https://pbs.twimg.com/profile_images/1886484322133192705/ny-jVATe_normal.jpg,previously many things | currently @buildyourcorner,nyc,655,13438,10974,3270,2017-07-09 15:09:13
1866200774797099008,Kai The Scribe,kaithescribe,https://pbs.twimg.com/profile_images/1866201185142603776/nIJxv4-x_normal.jpg,"Meet Kai Scribe, your AI powered content creator.

$SCRIBE",The Library,4,52,17,569,2024-12-10 03:18:44
1297651178256257024,Autism Capital 🧩,AutismCapital,https://pbs.twimg.com/profile_images/1607967887305887745/pN-Bl6pc_normal.jpg,"Citizen journalism with a humorous flair. Following Fintech, Crypto, AI, Longevity, Politics, Memes, and whatever the current thing is.",The Blockchain,0,851530,26001,56853,2020-08-24 05:45:35
1332033418088099843,Arbitrum,arbitrum,https://pbs.twimg.com/profile_images/1882673922400776192/niCbzDud_normal.jpg,An onchain ecosystem for all. Innovate apps and chains your own way.,,162,1141575,5006,9104,2020-11-27 02:48:29
1496982313858699267,Crypto: The Game,cryptothegame_,https://pbs.twimg.com/profile_images/1897131773328547846/EyPQ5B7s_normal.jpg,"""A mutant conglomeration of Survivor, Squid Game, The Hunger Games, and The Traitors."" – @WIRED",,383,12904,4369,1317,2022-02-25 06:56:40
1107518478,Yano 🟪,JasonYanowitz,https://pbs.twimg.com/profile_images/1845475643292614670/xisSeeyl_normal.jpg,"co-founder @blockworks_ 

building @blockworksres | @theempirepod | @permissionless",New York,2164,122132,34449,15221,2013-01-21 07:10:04
21838196,Claire Kart,clairekart,https://pbs.twimg.com/profile_images/1499120981922570240/huWA2jbo_normal.jpg,CMO @aztecnetwork // mother of chains // in testnet // reply girl // my opinions,,3675,21034,82339,20096,2009-02-25 12:56:28
126991515,Carol Yumi,carolyumi6,https://pbs.twimg.com/profile_images/1622178722827718656/Fh38mBQ9_normal.jpg,Head of Marketing at @matchaxyz & @0xproject | prev. @nubank | 🇧🇷 🇨🇭,Mostly Europe,1006,602,6148,1430,2010-03-28 01:32:32
76236555,Leo Matchett,dcp_leo,https://pbs.twimg.com/profile_images/1892007199813271552/LVFKFnmZ_normal.jpg,Co-Founder/CEO | @DCP_Foundation - 501(c)(3) nonprofit to support the arts as an auditable democratic film fund and virtual studio.,h0ck3y.eth,520,8871,4022,1046,2009-09-22 11:16:40
1288048072333971457,POG GAME OFFICIAL,poggameofficial,https://pbs.twimg.com/profile_images/1787681470095527936/zX4eh_2R_normal.jpg,"Official POG owner since 1993. BUY THE HOBBY BOX @ https://t.co/LP1BGVR0vV. Only 5,100 serial #'d boxes made! Join our community @PogDigital : https://t.co/R9GTZU1sLM",,299,1866,2427,826,2020-07-28 17:47:11
1484468482314055682,Naomi,afrochicksnft,https://pbs.twimg.com/profile_images/1813148526735441920/mtOccGbI_normal.jpg,onchain creator🫡 | 11x national triple jump champion,"Manchester, England",1091,6074,9690,10940,2022-01-21 18:10:45
519991034,caro.eth,carolinacotos,https://pbs.twimg.com/profile_images/1887211277002354688/mUjXZNOU_normal.jpg,Internet OG✨ Based🫡 founder @ombruja 🔮 Artist @nft_nyc @niftygateway 🧘🏽‍♀️ Brand Ambassador 🇨🇷. Former VP @internetsociety NYC,"New York, USA",5431,3375,22224,10171,2012-03-10 09:39:03
1183741788852490243,mattj.base.eth ☕,mattdcp,https://pbs.twimg.com/profile_images/1893040829159059456/sM2JeHwU_normal.jpg,"Christian, Husband, Dad, Decentralized Pictures, Coffee Roaster, Building on Base. Opinions are my own.",Oklahoma,308,1636,14891,4670,2019-10-14 21:50:18
857994826230374401,Kathryn Haun,katie_haun,https://pbs.twimg.com/profile_images/858005402872553472/QJiPTDx0_normal.jpg,"Founder and CEO @HaunVentures. Alum @Coinbase Board, @a16z, @TheJusticeDept, @Stanford, @USSupremeCourt w/Justice Kennedy. Teach from time to time @StanfordGSB.",United States,752,112715,3105,1702,2017-04-29 00:28:02
1848403037770944513,Farcade,Farcade_AI,https://pbs.twimg.com/profile_images/1848403270768660481/9v2LluB0_normal.jpg,"Onchain, AI-Powered, Gaming

Backed by - @base @lemniscap @variantfund",,5,16483,1301,457,2024-10-22 00:37:21
2718554323,Parker Jay-Pachirat,parkerjayp,https://pbs.twimg.com/profile_images/1867701335459495936/RTxV2RVW_normal.jpg,Ecosystem @base @coinbase // Founding Team @BoysClubWorld. // Cyborg & Ex-Juuler.,NYC,4072,5100,49773,13872,2014-08-09 11:36:40
3199745285,Juampi.eth,HooCrypto,https://pbs.twimg.com/profile_images/1883873634118242304/sr2-jO9k_normal.jpg,DevRel @TalentProtocol || Consumer Crypto || Systems Engineering || based,🇦🇷,1022,6697,32001,17205,2015-04-24 09:56:46
1799231449721122816,OnchainKit,OnchainKit,https://pbs.twimg.com/profile_images/1893102624162889728/qcJg2bYH_normal.png,A kit to make building onchain easy for everyone. Created by @base.,npm create onchain,25,7592,1080,461,2024-06-08 08:06:53
1865098489,yele is onboard 🌐,YeleBademosi,https://pbs.twimg.com/profile_images/1910294645956857856/cC4UHrHx_normal.jpg,An Onchain Dreamer. Co-Creator @OnboardGlobal | Founding Partner @microtraction,Onchain,2478,35084,19579,12109,2013-09-15 05:30:49
1350858008721575940,Andrew,ann_droo,https://pbs.twimg.com/profile_images/1857557786852249600/cWDISDWI_normal.jpg,Trial but mostly error. Protocol Specialist @Coinbase.,Texas,5071,3695,47902,4230,2021-01-18 01:40:15
45569415,aflock,aflock,https://pbs.twimg.com/profile_images/1878508313786142720/qxLy34Gh_normal.jpg,"100101010000

Head of Engineering @base",,1108,2353,11574,2406,2009-06-08 21:56:29
385758190,amanda.eth,amandacassatt,https://pbs.twimg.com/profile_images/1713880200021164032/6qSd2Njl_normal.jpg,founder @serotonin_hq | former cmo @consensys,puerto rico,1911,25604,21350,9339,2011-10-06 10:27:51
1409556583516971011,Decentralized Pictures,DCP_Foundation,https://pbs.twimg.com/profile_images/1899836797762338816/fKgq5F8k_normal.jpg,Supporting the cinematic arts for independent filmmakers through the use of blockchain tech. ⚡️🎥 Chat: https://t.co/CMjil5kOUt,dcp.base.eth,556,7136,4213,2914,2021-06-29 00:58:03
1226391671325069313,DIMO,DIMO_Network,https://pbs.twimg.com/profile_images/1858908987791392768/v3qCaFZZ_normal.png,"DIMO helps drivers get the most from their car. Download the app to connect, earn rewards & build the future of mobility.
dimo.base.eth",,1854,29233,6899,3297,2020-02-09 14:25:43
